,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
3597,0.26557,0.37528,0.47426999999999997,0.55897,0.62169,0.66496,0.69477,0.71103,0.7094699999999999,0.68928,0.65196,0.6006100000000001,0.53508,0.46574,0.40688,0.33064,0.21903000000000003,0.097679,0.025998,0.14812,0.26554,0.37525,0.47423999999999994,0.55894,0.62166,0.66493,0.6947399999999999,0.711,0.70944,0.68925,0.65193,0.60058,0.53505,0.46571999999999997,0.40686,0.33061,0.21899999999999997,0.097649,0.026027999999999996,0.14815,8
5523,0.32723,0.43446,0.52815,0.59929,0.65295,0.69534,0.7245,0.73456,0.72478,0.69533,0.64703,0.58123,0.5001,0.40906,0.32985,0.25254,0.15697,0.036187000000000004,0.089045,0.2121,0.32916,0.4364,0.53009,0.60124,0.6549,0.69729,0.72645,0.73651,0.72672,0.69728,0.6489699999999999,0.58317,0.50205,0.4109,0.33150999999999997,0.25418,0.15888,0.038127999999999995,0.087006,0.21011999999999997,10
3468,0.32005,0.42536999999999997,0.5184300000000001,0.59011,0.63964,0.68085,0.7095100000000001,0.7194,0.70995,0.68135,0.63439,0.5704100000000001,0.49151999999999996,0.40352,0.32706,0.25021,0.15492999999999998,0.036743,0.085488,0.20561999999999997,0.32009,0.42541,0.51846,0.5901,0.63963,0.68089,0.70955,0.71945,0.71,0.6814,0.63444,0.5704600000000001,0.49158,0.40364,0.32729,0.25042,0.15502,0.036802999999999995,0.085439,0.20556999999999997,6
4515,0.32916999999999996,0.4364,0.5301,0.60126,0.65492,0.6973,0.72645,0.73652,0.72673,0.69728,0.6489699999999999,0.58317,0.5020600000000001,0.4109,0.33150999999999997,0.25418,0.15888,0.038131,0.087003,0.21011999999999997,0.32721999999999996,0.43445,0.5281399999999999,0.59927,0.65293,0.69534,0.7245,0.73456,0.72477,0.69533,0.6470199999999999,0.58123,0.5001,0.40906,0.32985,0.25254,0.15697,0.036185,0.089048,0.2121,10
3946,0.38039,0.48935,0.58405,0.65776,0.70694,0.73829,0.75854,0.76015,0.74138,0.70216,0.64491,0.57282,0.48481,0.38721,0.30899,0.22871999999999998,0.12317,0.009201899999999999,0.13585,0.26297,0.38292,0.49188999999999994,0.5866,0.6603899999999999,0.70958,0.7408899999999999,0.7610899999999999,0.7627,0.74392,0.7046899999999999,0.6474300000000001,0.5753199999999999,0.48733000000000004,0.38954,0.31090999999999996,0.23063000000000003,0.1256,0.009368099999999999,0.13322,0.26039,5
4181,0.32723,0.43446,0.52815,0.59929,0.65295,0.69534,0.7245,0.73456,0.72478,0.69533,0.64703,0.58123,0.5001,0.40906,0.32985,0.25254,0.15697,0.036187000000000004,0.089045,0.2121,0.32916,0.4364,0.53009,0.60124,0.6549,0.69729,0.72645,0.73651,0.72672,0.69728,0.6489699999999999,0.58317,0.5020600000000001,0.4109,0.33150999999999997,0.25418,0.15888,0.038127999999999995,0.087006,0.21011999999999997,10
510,0.38040999999999997,0.48936999999999997,0.58407,0.65779,0.70697,0.73832,0.75856,0.76018,0.7414,0.70218,0.64493,0.57284,0.48483000000000004,0.38723,0.30901,0.22874,0.12319000000000001,0.009203,0.13582,0.26295,0.3829,0.49187,0.58658,0.6603600000000001,0.70955,0.7408600000000001,0.76107,0.76267,0.7438899999999999,0.70467,0.64741,0.5753,0.4873,0.38952,0.31088000000000005,0.23060999999999998,0.12558,0.009365700000000001,0.13324,0.26041,5
6633,0.2664,0.37611,0.47511000000000003,0.55986,0.62271,0.66598,0.6956600000000001,0.71187,0.71029,0.69007,0.65269,0.60128,0.53566,0.46593,0.40700000000000003,0.33119,0.2198,0.098463,0.02521,0.14733,0.26475,0.37446,0.47343999999999997,0.55809,0.62068,0.66395,0.69389,0.7102,0.7086600000000001,0.6884899999999999,0.65123,0.59995,0.5344899999999999,0.46555,0.40674,0.33008000000000004,0.21827,0.096898,0.026782999999999998,0.14891,8
573,0.3829,0.49187,0.58657,0.6603600000000001,0.70954,0.7408600000000001,0.76107,0.76267,0.7438899999999999,0.70467,0.64741,0.5753,0.4873,0.38952,0.31088000000000005,0.23060999999999998,0.12558,0.0093656,0.13324,0.26042,0.38040999999999997,0.48938000000000004,0.58408,0.65779,0.70697,0.73832,0.75857,0.76018,0.7414,0.70218,0.64494,0.57284,0.48483000000000004,0.38723,0.30901,0.22874,0.12319000000000001,0.0092031,0.13582,0.26295,5
3589,0.50402,0.61078,0.69534,0.76073,0.81203,0.8537799999999999,0.8764700000000001,0.8789799999999999,0.8632700000000001,0.8286100000000001,0.77473,0.7045399999999999,0.62692,0.56084,0.48428999999999994,0.37466,0.24777,0.11627,0.018050999999999998,0.14423,0.26533,0.37529,0.47139,0.55094,0.60941,0.64108,0.65315,0.65158,0.63179,0.59225,0.5335,0.45665,0.36417,0.26131,0.1501,0.05778,0.026141,0.12303,0.24886,0.37418,5
