,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t9,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,F
5694,0.34638,0.38139,0.43853000000000003,0.53264,0.61511,0.66832,0.71886,0.7637,0.79955,0.82314,0.8325299999999999,0.8271200000000001,0.80742,0.77465,0.7299399999999999,0.66382,0.57404,0.49013999999999996,0.41612,0.3608,0.34589000000000003,0.38090999999999997,0.43812,0.53227,0.61465,0.66793,0.71859,0.76352,0.79945,0.8231,0.83254,0.82719,0.8075399999999999,0.77485,0.7302,0.66404,0.57427,0.49044,0.41648,0.36123,4
2458,0.34831999999999996,0.36818,0.41086999999999996,0.49968,0.59208,0.64226,0.6919,0.74046,0.78251,0.81362,0.8311700000000001,0.83405,0.8223600000000001,0.79689,0.758,0.69548,0.60829,0.52461,0.44711000000000006,0.38282,0.34956,0.36934,0.41186999999999996,0.50038,0.59302,0.6431600000000001,0.69242,0.7407100000000001,0.78254,0.81348,0.8308700000000001,0.83362,0.8218,0.79614,0.7571399999999999,0.6947,0.6075,0.52369,0.44606999999999997,0.38166,1
5345,0.34841,0.36826,0.41093999999999997,0.49972,0.59213,0.64232,0.69192,0.74047,0.78249,0.8136,0.8311299999999999,0.83401,0.8223,0.79682,0.75793,0.6954100000000001,0.60822,0.52453,0.44702,0.38273,0.34947,0.36927,0.41181,0.50035,0.59297,0.6431100000000001,0.69239,0.7407100000000001,0.78255,0.8135,0.83091,0.83367,0.82185,0.7962100000000001,0.75722,0.6947800000000001,0.6075699999999999,0.52377,0.44616000000000006,0.38175,1
1588,0.36301,0.39514,0.43313,0.49646,0.5739,0.629,0.6555300000000001,0.6722600000000001,0.6834899999999999,0.68913,0.69672,0.7004199999999999,0.6917399999999999,0.67352,0.6429699999999999,0.59026,0.51823,0.45571999999999996,0.40388,0.36829,0.36295,0.39499,0.4328,0.49596,0.5733600000000001,0.62857,0.6551,0.67179,0.68298,0.6885899999999999,0.69617,0.6998800000000001,0.6912,0.6729999999999999,0.64247,0.5897600000000001,0.51777,0.45531000000000005,0.40357,0.36813,2
3893,0.40008,0.42103,0.45458999999999994,0.51561,0.6038899999999999,0.66587,0.69495,0.71445,0.73,0.7418600000000001,0.75767,0.76951,0.7675,0.75431,0.72582,0.67197,0.5959399999999999,0.52785,0.46803999999999996,0.42135,0.40008,0.42103,0.45458999999999994,0.51561,0.6038899999999999,0.66587,0.69495,0.71445,0.73,0.7418600000000001,0.75767,0.76951,0.7675,0.75431,0.72582,0.67197,0.5959399999999999,0.52785,0.46803999999999996,0.42135,0
1742,0.35853,0.40197,0.47016,0.57028,0.65177,0.70658,0.75838,0.80329,0.8381299999999999,0.8597899999999999,0.8665299999999999,0.85795,0.8346299999999999,0.7967,0.7412,0.66603,0.57731,0.49151999999999996,0.41544,0.36338000000000004,0.35886,0.40216999999999997,0.4703,0.5704100000000001,0.65187,0.7065899999999999,0.7582800000000001,0.80313,0.8379200000000001,0.8595299999999999,0.86624,0.8576299999999999,0.83429,0.79627,0.7407199999999999,0.66552,0.57687,0.49108999999999997,0.41502,0.36296999999999996,10
5600,0.37918,0.41608,0.46187,0.53177,0.61116,0.6646,0.69028,0.70589,0.71543,0.71905,0.72493,0.7267600000000001,0.7158,0.69431,0.65259,0.59286,0.52293,0.4601,0.40788,0.3759,0.37943000000000005,0.41639,0.46213000000000004,0.53188,0.6113,0.66491,0.69063,0.70621,0.7157100000000001,0.71926,0.72505,0.7268399999999999,0.71583,0.69435,0.65275,0.59305,0.52298,0.46005,0.40774,0.3757,5
2911,0.34638,0.38139,0.43851999999999997,0.53263,0.6151,0.6683100000000001,0.71885,0.76369,0.79955,0.82314,0.83252,0.82711,0.8074100000000001,0.77464,0.7299399999999999,0.66381,0.57403,0.49013,0.41612,0.3608,0.3459,0.38090999999999997,0.43812,0.53227,0.61465,0.66794,0.71859,0.76352,0.7994600000000001,0.82311,0.83255,0.8272,0.80755,0.77485,0.7302,0.66405,0.57428,0.49044,0.41648999999999997,0.36123,4
3882,0.34700000000000003,0.38341,0.44197,0.53681,0.61916,0.6726800000000001,0.72353,0.76856,0.8044899999999999,0.8280799999999999,0.83741,0.83189,0.81202,0.77899,0.73417,0.66848,0.5785399999999999,0.49362,0.41883000000000004,0.36228,0.34538,0.37901999999999997,0.43488999999999994,0.52833,0.6108100000000001,0.66381,0.71417,0.7589199999999999,0.79478,0.81843,0.8279299999999999,0.82268,0.8032100000000001,0.77075,0.72619,0.6596,0.5701,0.48717,0.41395,0.35988000000000003,4
5627,0.40898,0.44653999999999994,0.48894,0.5513,0.6279600000000001,0.68801,0.71758,0.73605,0.7471,0.75144,0.75802,0.75941,0.74642,0.7218600000000001,0.67743,0.61739,0.55215,0.49032,0.4385,0.40641,0.40899,0.44656,0.48896000000000006,0.55133,0.628,0.68805,0.71762,0.7360899999999999,0.74715,0.75149,0.75807,0.75945,0.74646,0.7219,0.67747,0.61743,0.55218,0.49035,0.43851999999999997,0.40642,8
4408,0.39855999999999997,0.41966000000000003,0.4533,0.5148199999999999,0.60331,0.66498,0.6941,0.7137899999999999,0.7296,0.74188,0.75812,0.77015,0.7682899999999999,0.7552300000000001,0.7267,0.67276,0.59683,0.5290100000000001,0.46936000000000005,0.42278999999999994,0.40153,0.42233999999999994,0.45583,0.51637,0.60445,0.66671,0.69577,0.7151,0.73039,0.7418399999999999,0.7572399999999999,0.76891,0.76675,0.75343,0.7249800000000001,0.6712199999999999,0.59508,0.52674,0.46678000000000003,0.41998,0
